source_id,phot_g_mean_mag,solution_id,nss_solution_type,ra,dec,parallax,parallax_error,bp_rp,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags
1850540432473446528,10.404471397399902,4338096422163308546,SB1,,,7.254833846411604,0.025669783353805542,0.8672981262207031,23.145344279450256,0.002265657065436244,-11.229673345830303,0.07258493453264236,0.40450639690701534,0.01072146836668253,194.24563443896355,1.1267673969268799,-58.99483348098649,0.17861995100975037,27.69098918692069,0.21509277820587158,,,26,26,0.5586106777191162,128.73974609375,1.657924771308899,1.0,0
1850680555783894784,7.358798027038574,4338096422163308546,SB1,,,2.205708353202695,0.01962059736251831,2.0788445472717285,6.184014213394012,0.0011917707743123174,1.5750866118694906,0.2986873686313629,0.3335061212295408,0.08098823577165604,166.7517511018455,19.01449203491211,6.8988485458124895,0.038005076348781586,0.5536543826557553,0.09130051732063293,,,39,39,0.37337446212768555,6.064088344573975,2.9464526176452637,0.9919999837875366,0
1850803284470729856,12.192829132080078,4338096422163308546,SB1,,,1.3871003125165775,0.013157947920262814,0.7029180526733398,13.0297714306059,0.005252768285572529,0.8254017361221843,0.29790419340133667,0.2674426044477585,0.04849228635430336,356.5723045331592,8.799055099487305,-45.834357441325515,1.0469365119934082,39.810251005957376,2.182556629180908,,,25,25,0.4491046369075775,18.240190505981445,-0.6776800751686096,1.0,0
1851134654087953536,11.843087196350098,4338096422163308546,SB1,,,1.7594661309740018,0.014197723008692265,0.7603960037231445,9.38720282186413,0.0012477915734052658,4.114409448519772,1.6451910734176636,0.019381846495823283,0.024863725528120995,156.42838085510795,64.01242065429688,-24.506556610959738,0.6459143757820129,41.19189112096741,0.7753040790557861,,,22,22,0.22658471763134003,53.12997817993164,-0.7036354541778564,1.0,0
1851535078181447680,10.968404769897461,4338096422163308546,SB1,,,2.9686663050340685,0.09035128355026245,0.6674900054931641,363.8437937411595,5.103562831878662,-46.50037994950059,15.842812538146973,0.17486102924111763,0.04951782152056694,221.56565097096518,17.302412033081055,-0.2633619505644603,0.2956617474555969,9.409505360872936,0.35745739936828613,,,35,35,0.4408981204032898,26.32343101501465,0.17049472033977509,1.0,0
1872372232276061312,13.182178497314453,4338096422163308546,SB1,,,0.3067722784741175,0.010806954465806484,1.4741382598876953,130.33173497257272,1.1194102764129639,-38.101205994653554,11.784388542175293,0.13247459155476365,0.08156663179397583,342.1198417869661,32.95014572143555,8.89516609539307,0.6663334965705872,13.690207293745985,1.1234875917434692,,,17,17,0.4359005093574524,12.185454368591309,0.2591610848903656,0.9990000128746033,0
4273042591763550592,13.838972091674805,4338096422163308546,SB1,,,0.4297114993790135,0.04289494454860687,4.026803970336914,23.39310977681355,0.015167889185249805,-3.1259265597751207,0.46893662214279175,0.2613400604435179,0.07249538600444794,29.469836683403837,6.67777681350708,64.78030586072585,0.6854087710380554,29.680391626716176,2.15480375289917,,,13,13,0.2925022840499878,13.774057388305664,0.14680689573287964,1.0,0
5926794769581573248,12.511388778686523,4338096422163308546,SB1,,,0.4793095563201706,0.013950961641967297,1.3493871688842773,14.42446809068152,0.011791609227657318,-4.464562259341204,1.0744967460632324,0.3263986827357947,0.1655457764863968,341.502397714373,16.845050811767578,-42.232725519799416,0.9948217868804932,13.787902187924075,2.349480628967285,,,24,24,0.3684326112270355,5.8684892654418945,-0.22804920375347137,0.972000002861023,8192
5926808238600101888,11.340129852294922,4338096422163308546,SB1,,,1.0563020430886312,0.03194534778594971,0.4665193557739258,2.1679034835865183,0.00017033223411999643,0.05913270860156032,2.0431153774261475,0.011604921823093953,0.04907916113734245,279.21468052006395,336.9154968261719,-45.70340526898303,2.2743782997131348,55.51339374524862,3.6379964351654053,,,20,20,0.14640076458454132,15.259331703186035,0.9076600074768066,1.0,0
5926960860241050112,12.128005027770996,4338096422163308546,SB1,,,0.7987492839688577,0.023975232616066933,0.5285739898681641,2.1314722276604674,0.00033753548632375896,0.07620640373434581,0.5627782940864563,0.09034427059860983,0.107635498046875,119.93413793058293,95.05580139160156,12.2952449553378,1.347273826599121,13.670302434536636,2.1599338054656982,,,15,15,0.34790104627609253,6.329037666320801,-1.5088369846343994,0.9929999709129333,0
6871402899951335168,12.32018756866455,4338096422163308546,SB1,,,0.4524037328319189,0.022458026185631752,1.5963516235351562,33.24995676840414,0.0351165346801281,14.53369988066614,1.8110584020614624,0.1811502987060543,0.06784350425004959,294.5444620945234,21.041736602783203,-17.2918424010551,0.4477093517780304,10.229777664480462,0.7014738321304321,,,16,16,0.28595176339149475,14.583263397216797,2.134082555770874,0.9990000128746033,0
6872692734466380800,12.868355751037598,4338096422163308546,SB1,,,0.3882984277840018,0.016107266768813133,1.2798442840576172,314.9583089489582,10.305398941040039,73.02733868404205,116.31974792480469,0.09119526724133865,0.14224617183208466,190.05762351766344,137.2718505859375,-62.043901297764776,0.7317728996276855,6.465602765149699,0.9644855260848999,,,20,20,0.32691389322280884,6.703680515289307,-0.5281984210014343,0.9890000224113464,8192
6872982971176517888,11.75990104675293,4338096422163308546,SB1,,,3.0976880397304885,0.016147909685969353,0.9690914154052734,27.144637459989138,0.005575659219175577,-7.004585486797757,0.24430328607559204,0.3407847319063116,0.023797083646059036,259.38866332327683,4.703011512756348,-44.49477305870556,0.42889708280563354,28.88079756074753,0.6579397320747375,,,16,16,0.5340660214424133,43.895809173583984,-0.21887943148612976,0.9980000257492065,0
6873379723075578752,12.062763214111328,4338096422163308546,SB1,,,2.14983454892178,0.01486378163099289,0.7814464569091797,2.022685602297696,9.341779514215887e-05,0.1932922529471786,0.29750174283981323,0.040667761694852075,0.028849944472312927,318.79662643214266,52.38015365600586,-3.546216043768813,1.71532142162323,49.478022822243645,2.7002837657928467,,,17,17,0.18709369003772736,18.323266983032227,1.6808757781982422,1.0,0
5857213207024908544,8.270976066589355,4338096422163308546,SB1,,,1.2950195254693238,0.039002783596515656,1.4293766021728516,345.5865547900823,0.7491216063499451,-56.577332445616484,2.117931365966797,0.25001593421218543,0.01370986271649599,168.9298483889318,3.137294054031372,-24.38999997539601,0.09244929254055023,8.746932827943423,0.07854316383600235,,,13,13,0.41624176502227783,111.36465454101562,-0.6920591592788696,0.9990000128746033,0
6659036219070632064,11.91921615600586,4338096422163308546,SB1,,,3.537361354995826,0.02088744193315506,0.888401985168457,97.98409985065686,0.21489226818084717,-31.603714687203894,3.549934148788452,0.17757051823457504,0.06135201081633568,21.6521016956586,14.277717590332031,-36.51522833501649,0.674479603767395,18.159695049643243,0.9228781461715698,,,18,18,0.518573522567749,19.6772403717041,1.9746031761169434,0.9990000128746033,0
6659288041593001856,12.209977149963379,4338096422163308546,SB1,,,0.5736485204959464,0.014648199081420898,1.333634376525879,164.62530399619604,0.5518465638160706,55.13961698308717,6.242770671844482,0.1503610832412999,0.044520970433950424,162.03121086998738,13.554987907409668,-78.96492896473377,0.45056071877479553,18.51084381550036,0.6636656522750854,,,18,18,0.4614991843700409,27.891822814941406,-2.1503729820251465,1.0,0
6659957815974006656,12.799981117248535,4338096422163308546,SB1,,,0.8828204868069588,0.01603894680738449,1.1952133178710938,83.05724203720214,0.21324115991592407,-41.42544799290521,1.8035675287246704,0.29710898601268054,0.07169916480779648,59.20109457271335,8.969987869262695,7.747594722174052,0.7136520743370056,19.46842499643297,1.3338712453842163,,,18,18,0.6106079816818237,14.595430374145508,1.9956421852111816,0.9610000252723694,8192
6660074467286015104,12.479186058044434,4338096422163308546,SB1,,,1.352410600423692,0.016734065487980843,0.6364955902099609,12.80106797598053,0.0035163024440407753,5.624645959578403,0.4688226878643036,0.2773112704401784,0.055742159485816956,311.9744181306612,16.42390251159668,8.631795555322368,1.4940049648284912,26.679637798684013,2.436359167098999,,,23,23,0.3681495785713196,10.950617790222168,1.0320332050323486,0.9990000128746033,0
4298279785248216704,7.955223560333252,4338096422163308546,SB1,,,3.3473542336565187,0.03730624541640282,1.2627053260803223,2.2557172494767883,0.0004950945731252432,0.8523488239292125,0.1026313379406929,0.36656753038377127,0.14062346518039703,79.14440501616767,18.16618537902832,47.436353763060715,0.048586662858724594,0.5622267806217036,0.06354131549596786,,,25,25,0.525096595287323,8.848207473754883,1.1337400674819946,0.996999979019165,0
4298524460952672256,11.976081848144531,4338096422163308546,SB1,,,0.28185089274115277,0.01650795340538025,1.50732421875,427.3944751404573,3.6545979976654053,180.21248177569248,14.948541641235352,0.17764094537419847,0.042387694120407104,95.65322495841596,14.644098281860352,-59.462480519270656,0.30128440260887146,14.094101509925714,0.6092380881309509,,,16,16,0.3590550124645233,23.13397979736328,-0.6482189893722534,1.0,0
