source_id,nss_solution_type,period,eccentricity,goodness_of_fit,semi_amplitude_primary,semi_amplitude_secondary,t_periastron,arg_periastron,center_of_mass_velocity,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp,mass_ratio_q,m2_sin3i,m1_sin3i,distance_pc,M_G,m1_solar_m
5500832866767800448,SB2,2.763949100730717,0.0131412107249711,37.865055,80.86213689264608,80.48792955869288,0.99119517886406,289.34196755358096,18.830698619023256,1.6648386,1.6725788,,96.52887209378518,-52.6528195294791,5.25209925496115,0.06335572,82.898575,3.6577747,8.020004,0.35608864,0.9953722799281202,0.6026439479820993,0.5998550804878257,190.40005747328493,1.6216686242869578,2.031576298997586
5529422780429017728,SB2,18.750058283428547,0.3125075805650834,27.370502,264.2795790934031,268.4888105799999,7.0119578923028,278.7365036862244,31.49986376807446,4.6624284,4.5893335,,127.7746611966836,-39.060936959057415,1.250156667447471,0.03776107,33.107025,1.2659618,7.352643,-0.03964567,1.0159271915788437,124.89857511152633,126.8878586452522,799.8997453989246,-2.162534792781967,4.855718251613569
3697620637428776064,SB2,24.97225761887092,0.3245045255810295,15.783867,38.08697861037405,40.79786319954025,-7.888364506162834,341.17823717902684,13.626043310660576,0.82985103,0.77471024,,183.3468981462698,-1.445267177253017,12.058405001650511,0.020706158,582.3584,1.2765944,9.890754,1.103425,1.0711761522723628,0.5189135811799169,0.5558478532501757,82.9297075245958,5.297203331395286,0.8715246334580323
1827288480296597248,SB2,9.272644574583683,0.7182715821939485,26.372353,57.05803476980405,60.18721116728908,-3.6623662381259297,255.1870638302588,18.488898624173903,1.381137,1.3093306,,298.88364676215,22.672448183712667,2.3012944762284526,0.014219643,161.83913,0.9673317,10.71178,0.69991016,1.0548419939472051,0.2537782263090335,0.267695930260206,434.53804383995254,2.521640975173474,1.6513377248560719
3414010031180726656,SB2,63.58606597093391,0.0905091066219322,12.920742,34.6731243719967,34.77181531145711,20.80178633764781,33.80602014562463,-12.279670100598391,1.1990224,1.195619,,78.05829844010466,20.128284732065755,5.818016883984855,0.019167943,303.52847,1.0096972,9.429346,0.697382,1.0028463238098069,1.0880212471731858,1.0911181079545909,171.87987246181444,3.2532208862145495,1.3953331472936266
5676384702886321408,SB2,6.27125523957131,0.0446802467080228,10.513743,46.9055164160816,47.33866191172287,2.6847105203732853,90.39305023427973,27.54822701740444,1.4966028,1.4829091,,141.12557371233592,-21.10233168279564,1.9259928075347013,0.0169509,113.621864,1.1277349,10.65659,0.593194,1.00923442547352,0.2698642961801877,0.2723563379112276,519.2127385356202,2.0798633047685833,1.8281577569417322
4722753395961920000,SB2,1.931839344547324,0.3525241566534793,11.321067,75.91673952121599,76.74067694812075,0.0806629252609558,78.86639620537773,1.7940079111468874,1.0940319,1.0822856,,52.61428537513426,-60.718148340791394,2.9401622266240257,0.012320327,238.6432,0.80601203,11.081966,0.7538214,1.0108531719367966,0.2901730182975157,0.2933223159565178,340.11728704787396,3.4238224687000827,1.3415836385252722
4724954205923858688,SB2,1.6728007035618822,0.2578986558104395,18.03409,57.620875181894206,58.00708077516953,0.4057762361975702,330.6081863744717,-1.372637099646893,0.8294218,0.8238997,,43.0269182026069,-60.90311334607339,9.45965571618346,0.011809652,801.01056,0.99506456,10.410882,1.1723232,1.006702529110434,0.1204128433999079,0.1212199139880659,105.71209249076713,5.290258652789834,0.8729193783754498
2487477317895977472,SB2,6.850693770656386,0.022148860973546,8.714153,52.9224688731222,51.96347382581433,1.3508254767948815,12.857020671943774,11.538406561279633,1.1577126,1.1790785,,31.49267471796284,-7.164452052574808,7.040851384166617,0.015136079,465.1701,0.92408985,9.18743,0.67137146,0.9818792458528912,0.4129042192206681,0.4054220833778664,142.02827831997536,3.425555887393342,1.3410482731873585
5942056192815182848,SB2,14.554200623153584,0.276785842268105,2.193031,68.93024763899446,68.08128893837558,-5.881569368138516,42.37762585269146,-15.165028093266214,1.6721344,1.6929855,,247.0873525739556,-46.9673371057286,2.6040128077724893,0.018277382,142.47186,0.92615455,10.025806,0.5102091,0.9876838002227252,1.7312097596111646,1.7098878343554256,384.0226887575928,2.1040215798402926,1.818016590133089
5817664392231877888,SB2,7.870634045046345,0.0193544830295488,7.0402484,75.69206823803674,75.21372208642474,-3.798518536452676,348.477781434976,17.44609971094557,1.5576497,1.5675561,,252.64325627067208,-63.52311712259,2.5252052160953253,0.016066954,157.16765,1.0551302,9.980428,0.5663729,0.9936803662160784,1.404712938374051,1.3958356670319905,396.0074189717856,1.9919113887016522,1.8655584526443632
4487570298323934976,SB2,7.784297355920722,0.1797825998680385,7.9284506,54.36904775527759,50.8766251888989,0.2288837833817069,352.61434567627543,-7.629367940217507,1.8078415,1.9319406,,263.72129203821413,8.099425504160472,2.623212268043233,0.017821945,147.19002,1.2262346,9.21991,0.6032877,0.9357645073701022,0.4623127228603142,0.4326158373583125,381.2120018582953,1.3140771737102916,2.1806817179769773
454608857921922560,SB2,4.6147050086541626,0.682048660787976,12.649724,31.954185790924647,35.02048039801945,0.3382879163695966,279.74909201637945,-17.985704071142635,0.83184373,0.7590099,,40.1119077938042,55.553252093883096,6.340053712664339,0.017885484,354.48044,1.088072,11.297799,1.2044907,1.0959590905290932,0.0268010242872416,0.0293728262030934,157.72737035373802,5.308263686108123,0.8693079100339206
4216947879340883712,SB2,17.570598587483456,0.5415367960360654,4.475666,61.82943497890472,64.4365069985899,3.844627389558012,91.07602089121838,-27.49105421988149,1.2115737,1.1625539,,302.40545159631887,-6.706858785703775,3.675717715548924,0.015460222,237.75323,0.9698658,10.38615,0.7690458,1.0421655481822645,1.0661089948882831,1.1110620650797904,272.0557119415962,3.212860757195555,1.408360786281678
4217212277523904640,SB2,3.885111803578201,0.0596445571280904,19.966118,73.56119761812978,92.35205782085316,1.4187739665409984,312.5379144331808,8.05496878356829,2.0062995,1.598078,,304.5585666712828,-6.31225758219516,3.714907501630956,0.045156155,82.26802,1.5644019,7.8827543,0.45262384,1.255445272931394,0.8106858990202189,1.0177717797570711,269.1857063899895,0.7324943231459908,2.4931623949410398
58390119045857152,SB2,0.972437535712616,0.0213993205235575,17.951376,48.60539131250033,59.00580123033439,-0.2352844040376914,35.39933304570129,10.0277660478625,1.3936418,1.1479974,,52.55754540195865,20.98516018459873,2.5073283862834126,0.0283211,88.532166,1.8491291,10.676855,0.8802147,1.213976467157035,0.0566659818637975,0.0687911684709975,398.83088528435235,2.6729110874439286,1.5948097836455017
65341884392701824,SB2,2.3290406342231806,0.0132172431111196,1.3926162,105.96409888574694,111.06198462162904,0.5975272048651238,343.607365213733,7.898555991071934,1.4128063,1.3479565,,59.32253992391064,22.459693895580926,2.308304229363756,0.021020778,109.81061,1.4363961,10.865976,0.85148525,1.0481095558730582,1.2039421591303092,1.2618632817029192,433.2184585026007,2.682441236514288,1.5913139733783104
3037915310035746432,SB2,13.140652899910386,0.0085006710326717,2.1241558,53.24688088320064,56.566659833363815,-4.9160109533473,108.07205104715298,22.833719321425736,0.89328796,0.84086275,,121.1116123198292,-10.686244753105438,7.287724779513807,0.015433119,472.21335,0.98174036,10.419049,1.044507,1.0623469186382064,0.8740486080850133,0.9285428455391272,137.2170369017028,4.732008815848726,0.9926567918509557
1566067263647030784,SB2,3.844533457870395,0.0209115246727745,9.884603,82.16517548750346,80.3782257995178,0.832361223356045,105.06435190114568,4.841630456448137,1.3110737,1.3402212,,201.7447651859436,58.11940749415442,3.1775708131964704,0.01195887,265.70828,0.8991175,10.19122,0.61183167,0.9782517389224412,0.8640620705819111,0.8452702230836797,314.7058110702031,2.7016961886365873,1.5842743144798845
