source_id,nss_solution_type,period,period_error,eccentricity,eccentricity_error,goodness_of_fit,significance,semi_amplitude_primary,semi_amplitude_primary_error,semi_amplitude_secondary,semi_amplitude_secondary_error,t_periastron,arg_periastron,center_of_mass_velocity,center_of_mass_velocity_error,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp
1600807329959858048,SB2,8.256678973581154,0.00026754834,0.09231860408532441,0.007042417,1.6414683,112.9983,62.41087083873749,0.5523169,65.26992367184766,0.53507805,0.63952818053809,24.345674774382797,-29.89024783654174,0.2646529,0.9596961,0.9176581,,228.03509580186105,55.91955207155428,5.576640232221975,0.013874494,401.9347,1.0922508,10.35654,0.851964
2080151484364937088,SB2,3.2252552552961,5.7754623e-05,0.16463202393788912,0.0073756464,30.72876,112.172844,107.9748217899305,0.9625754,93.80709012706284,0.96273464,-0.6653727279619502,74.82395681591996,-21.916409709293912,0.5355644,1.7917162,2.0623195,,297.26293502427643,45.86494422770929,2.2553579374827457,0.01718143,131.26718,1.4402642,9.442717,0.6725426
2143652880770103040,SB2,12.727347700427684,0.00075558684,0.3617391906999513,0.008803892,12.898027,73.090866,55.61329358695706,0.76087886,62.67292452524064,0.89409536,-0.9179609681362069,58.87501861362885,-16.03608667921838,0.4149192,1.4003729,1.2426314,,288.4917928941025,59.60338944210205,3.972656510136643,0.012370509,321.1393,1.0650607,9.403734,0.5703821
1993111257691035904,SB2,7.219750852375083,0.00018225351,0.3160830580524244,0.005889926,4.376626,115.252464,78.70523291748044,0.6828942,68.58637083478709,0.59406674,-2.579860667143481,280.6275420483896,-32.13385601897609,0.28051186,0.99831235,1.1455979,,355.5233066889659,53.120054232198605,6.005882288805972,0.012769195,470.3415,0.90168905,10.054089,0.8113384
1708912756311879168,SB2,17.96863927773361,0.00049723143,0.6030075177562958,0.0046011326,26.514782,97.89537,49.11165306334691,0.50167495,49.055875393612126,0.49427578,-2.7328783998955783,84.41918506998503,-10.769007009135494,0.17513922,0.78501207,0.7859045,,232.74289499921542,79.65191520875304,14.152955572140593,0.0113439355,1247.623,1.0501602,9.893667,1.2183008
3070944845487267200,SB2,1.6342176103735333,1.707231e-05,0.3603212009550979,0.017277932,10.876267,32.419174,209.61748724113403,6.4658494,187.59449567615357,5.9656615,0.21051435618206873,344.1294067175671,-24.08712784660117,1.6069745,0.9337314,1.0433484,,123.92032735152934,-1.9183776210981627,6.303315076631741,0.016126104,390.8765,0.96199244,10.3615885,0.9002657
3072826380463899776,SB2,35.73383682179846,0.0064929132,0.09259962978754972,0.009068836,31.117102,63.143215,29.90023501475046,0.47353047,34.15618583718211,0.513938,13.597005249626115,34.095351080899704,48.45528615716628,0.16239612,0.95342577,0.83462644,,128.2403360895959,-2.1621412584677224,6.397449096266406,0.021715682,294.60043,1.257641,10.02693,0.85942364
5442280745847619968,SB2,17.32013842262879,0.0015655825,0.4212956620828716,0.0045519215,-3.630248,145.4044,74.46325121315853,0.5121114,69.73568675802086,0.5013291,-2.9840367500840017,23.840813456621618,17.996072249007508,0.2326398,2.0157866,2.152442,,157.76192790441203,-36.96976905314984,1.513950056682552,0.0146953305,103.02253,0.9480257,9.7015915,0.41744614
772336073027800192,SB2,9.747824425584486,0.00015669373,0.1937468248945257,0.0055343914,3.3933778,136.56958,59.06914560807982,0.43252054,67.32365864436136,0.47537073,4.200346021524915,81.44541387873059,-6.172732910161722,0.16801499,0.9400652,0.8248044,,173.61318895431657,44.41751515417853,8.910417437807189,0.018352756,485.50842,1.0103642,9.483325,0.88321877
2228129291144303616,SB2,103.45038012217498,0.042541724,0.6639799270849871,0.010288902,20.243605,42.226116,51.202966121113874,1.21259,46.54182419380831,1.0986036,43.95878357420978,75.79445817433667,-12.998837042419554,0.29637775,1.000621,1.1008329,,358.8318431073968,73.44594931657306,4.784013060229697,0.015681295,305.0777,1.1593939,10.5181265,0.8125906
5412560328082541952,SB2,2.9734282457406183,5.4959346e-05,0.043164067130834656,0.01469273,4.392978,43.278965,65.71479851281035,1.5184004,66.5986414770954,1.3950049,0.8162337378023571,317.6065861074122,3.6023466051163777,0.598613,1.5185088,1.4983565,,144.4338650250324,-45.069742822199856,2.2312365255607594,0.013396072,166.559,1.018413,10.210315,0.62257385
1944868020357285504,SB2,2.8790633987531637,4.6489844e-05,0.1258299004154629,0.009513532,23.46471,66.97741,91.60202556175471,1.3676556,95.05063577597197,1.3813481,1.1795165921792614,115.33271123398657,-35.97455051444498,0.758664,1.430409,1.3785112,,355.5056974277116,51.743525794457355,1.9419067683445543,0.016454602,118.01603,1.1862019,11.041678,0.6565199
6415586993013557888,SB2,0.5206109123139393,2.073093e-06,0.33921610441822625,0.008054947,16.68214,83.546715,75.77574659872371,0.90698653,74.33285515053606,0.96237695,0.17064885106995478,94.58212788911324,-8.815274864743245,0.51799446,1.5532779,1.5834289,,293.83345415248084,-73.62396913476758,1.8879779246866615,0.025506204,74.02034,1.9648881,10.562042,0.67874527
2905356951236278016,SB2,27.107097444566854,0.0043370756,0.6184953884624643,0.011384646,5.6889277,39.134056,44.22503433994702,1.1300907,47.13786707370128,1.2256045,-3.2058708819857507,284.7599887199725,28.59017822422465,0.26217332,1.5616438,1.4651436,,81.58446569556335,-30.44813447496399,2.3741505096983717,0.01242534,191.07329,1.0382019,9.944398,0.5364113
2907798240710390912,SB2,4.422881943986517,7.6894685e-05,0.007993804483563004,0.0072750268,-0.26763853,113.29543,101.39046737459407,0.89492106,99.75879416586932,0.8927635,0.1959754776357485,36.486442788520556,12.079448606184059,0.43486428,2.0430822,2.0765,,86.35330132887489,-27.617887072568646,1.5768911815002224,0.011952568,131.92908,0.9768749,9.503693,0.4330864
6592058501894658048,SB2,605.3564525511348,3.9999807,0.47586436963780687,0.020563725,14.184415,31.204369,28.395812693848566,0.9099948,29.77044769284046,0.9938145,-235.69212191258833,57.42961420543391,11.87691478952348,0.31020892,1.2077113,1.1519457,,327.91476234016676,-32.12889674291722,3.0745406421619266,0.016834399,182.63443,0.8806561,10.505385,0.6910734
6263508351459318272,SB2,25.558586572202803,0.00796655,0.8725399711405684,0.008302483,13.03388,36.89557,44.79027831424984,1.2139745,44.40740597925077,1.6648836,4.642136077065374,309.6877530459158,-0.07975558391167692,0.43952143,1.548456,1.5618064,,237.5995028850158,-14.746870805361048,1.9280082139525825,0.018996045,101.49524,1.1133608,10.647155,0.71853447
5039567123065578240,SB2,20.67300920345735,0.0026251553,0.3208097717277435,0.007270539,9.821058,91.904205,30.624633256724383,0.33322343,33.16168071633732,0.564851,-6.217401226308811,355.5678880910823,3.5412836091744824,0.16276306,1.1352966,1.0484402,,20.133446613772893,-26.748693517809386,6.424207001266135,0.02174386,295.44922,1.2978041,9.289281,0.7003765
4599336686078441984,SB2,3.691355747950851,5.211783e-05,0.17582557315084463,0.0111325905,28.694345,71.07934,42.57930457271557,0.5990391,36.1448850578528,0.5760337,0.4373418945080402,85.38937488623394,-20.07927342990625,0.25862652,1.1809008,1.3911214,,260.49020040425415,29.024483606642153,4.703863893991611,0.011749894,400.33243,1.0254669,9.978916,0.66993904
4600500931454545664,SB2,3.319595406671619,5.3365475e-05,0.010233744214888789,0.007278248,3.2719452,110.39408,102.92645852237229,0.93235487,103.175337762199,0.9275243,1.0980935154689535,29.573071166008194,11.298674414783578,0.4914945,1.643865,1.6399009,,264.08824558091965,30.53709593020885,1.6761436819905424,0.014658263,114.34804,1.1206051,10.441593,0.62644005
2037454321127787648,SB2,5.844796922991537,0.00030397213,0.04821476143226959,0.010652817,6.2741823,72.864525,85.14104991479287,1.1684842,78.4982537805699,1.0282071,2.0310547583132514,319.7957874494707,-15.428863176840665,0.6185073,1.5917609,1.7264613,,286.79421882224466,28.519332263783436,2.1420655490157756,0.013702923,156.3218,0.92514664,10.509662,0.48037434
3001421763191813760,SB2,10.367044551208847,0.00033105825,0.012900940960873611,0.005846903,25.613607,81.6604,33.97224424437621,0.4160186,31.199650914440344,0.41144073,-0.5854730395068097,21.290806470856953,25.135820315589733,0.142331,1.6985714,1.8495167,,95.07123774214193,-10.882293119545542,7.120401918726114,0.09721661,73.242645,5.320405,7.1594615,0.4164381
4140456745179421440,SB2,1.7112402678951184,2.334352e-05,0.0653086505166968,0.011210167,5.709679,48.208447,87.31280274985536,1.8111515,89.82047140718447,1.9649314,-0.14017049856820255,66.2315404314552,-23.50768049863986,0.7559606,1.5584873,1.5149764,,254.21673903639882,-13.678164338044462,2.6668536095565014,0.015793195,168.86092,0.9998722,10.4563875,0.87890434
3094891315388486144,SB2,21.292734373578504,0.0023176204,0.3654272285771152,0.005194184,19.324633,105.392685,49.320788958270384,0.46797165,51.833152656251116,0.484723,4.319136547353453,266.8683138918185,9.113954446859191,0.23205025,1.7117103,1.6287435,,121.3105264826631,4.614126015028659,1.9254512612369896,0.015794897,121.90337,0.9418356,9.837068,0.63085175
4786545995454165504,SB2,2.1553501523642207,3.44469e-05,0.022144653400680985,0.014074092,2.5300062,52.03397,106.0740892429189,2.0385547,108.3849011094801,2.0992851,-0.8044207850320898,110.30994535385432,25.416792674286892,0.9106255,1.3482015,1.3194575,,71.94779435296428,-47.98849647659186,2.4521180603775203,0.012478249,196.51138,1.075239,10.665165,0.5800686
6171969129358847744,SB2,1.0756777039113783,2.3945e-06,0.09118931153114904,0.002893879,33.575104,241.32365,79.48562282286379,0.32937354,75.31755074664106,0.33336577,0.28455561092362835,281.8800568888744,1.6512445949082295,0.16152614,1.5048012,1.5880767,,207.6673329388005,-31.206590746210434,11.781039150822961,0.035124987,335.40338,1.2184875,6.961574,0.3731885
6373432541837565696,SB2,9.129013764691827,0.00036745964,0.29339249518166816,0.0049791504,4.632455,124.03669,46.56063997504474,0.37537795,49.67992501923275,0.3684173,3.7572262836514603,40.538837432116,20.03548167918243,0.15859097,1.329366,1.2458981,,313.35037393826286,-71.83719658138737,3.6119329660614605,0.012913569,279.7006,1.0233195,9.687715,0.69728947
1105311006155685888,SB2,194.30992703361838,0.08805141,0.3629433281617706,0.007312123,21.639217,87.55799,16.368983784548732,0.18695019,17.773193093254182,0.18481852,9.61109920521669,273.10898202525493,-10.731220250348834,0.07915425,0.62644595,0.5769522,0.6423544,93.76179224145353,68.08785791959427,12.215939479751265,0.03244517,376.51028,2.3941495,9.368724,1.0167189
6562358772979538560,SB2,5.137438880562153,0.00017893943,0.4836234640181555,0.016691439,2.5281847,31.187504,34.59284496090389,1.1091893,34.791280946538286,1.0699303,2.1612486848782098,331.00046858727285,13.027424897516255,0.35040256,0.7649621,0.76059896,,327.104681124543,-48.848513851225036,11.193228665248816,0.014132417,792.0251,1.0172786,10.568284,1.2816181
4553654761083817088,SB2,21.862542763015227,0.0017878434,0.14656772491785586,0.010464141,29.22502,120.38961,36.3331611752927,0.3017965,27.272135876759144,0.2923159,8.755108096928838,314.9363327988039,-7.933242400873211,0.126224,2.0792878,2.7701197,,261.0003835660068,18.850855741067168,4.408660585561422,0.025679214,171.68207,1.0078014,7.6152487,0.1214571
6030061691987260672,SB2,6.591025303706323,0.0017807255,0.20933778943416745,0.04087297,1.3088815,32.055008,56.347669933055144,1.7578429,60.370528683651415,1.7592672,0.6030099011486096,18.404289949804593,22.90814269522924,0.8447579,1.1183295,1.0438083,,254.960960560494,-28.9633068383835,3.764606476792381,0.016285466,231.16356,0.81149703,10.750088,0.8410244
3487319797163641984,SB2,547.697924473995,1.1645149,0.308928540904416,0.015982231,23.321915,39.72227,19.975243484791932,0.50287265,20.43683074455894,0.5993439,157.49983131935755,293.02311360222257,-3.16938216563306,0.18466769,0.9729131,0.95093864,,177.84772605853829,-26.938089692739737,6.516083089985121,0.0158315,411.58972,0.94999045,10.041425,0.8330984
1577965182050443008,SB2,18.348210689161746,0.0017054622,0.2998356634864732,0.007349378,21.284714,95.24459,54.580933686792015,0.5730607,54.431302806283696,0.5403546,-0.5077809403724881,337.56087811433406,-10.084531474577664,0.26933336,1.3739295,1.3777064,,192.08377890340898,57.919312966015625,3.077967351849088,0.044012588,69.9338,3.6841846,10.07921,0.5583687
277491725259259136,SB2,18.460868392696533,0.004151205,0.3641701056173099,0.01031834,10.9655075,55.523846,59.77463268630626,1.0765579,57.649872438231995,1.064046,-5.513568722308185,28.008535333043657,10.206155632507716,0.2186566,2.2071488,2.288496,,68.46240502113454,56.72480260752582,3.1305199783100717,0.01970723,158.85135,0.8915121,8.5582695,0.37213516
5847548018771158912,SB2,2.146034569893445,2.652009e-05,0.2996745561290977,0.028193766,12.791719,27.071327,88.29356582091474,3.2615159,90.70052057240036,3.312315,-0.2294968869032288,42.270371570834634,1.2508687766056956,0.5396032,1.7565845,1.7099694,,215.60850221031606,-67.95706662942344,2.357845858220554,0.015743552,149.76581,0.86909515,9.91328,0.32626724
