source_id,ra,dec,parallax,significance,period,ruwe,a_thiele_innes,b_thiele_innes,phot_g_mean_mag,bp_rp,wobble_amplitude
5817819148491054080,252.06927946101672,-63.77568030636797,1.2601749087285734,38.151546,502.35592130308754,2.8875735,0.20683371595649122,0.6635988922828104,13.231568,0.86717796,0.6950853730984011
5817878556483725184,250.86444060993458,-63.67038048612571,1.1050206994665415,21.87255,575.4614561099806,2.0763116,0.5844064630101949,-0.17249097500173102,14.608111,0.9879494,0.6093308218571699
5542346989864848768,127.60272032296886,-36.13073015661379,1.597664853428103,25.942978,488.5411094577887,1.9906241,-0.45469700232884147,-0.07702289080984967,14.657792,1.0963268,0.46117446767523945
5542981987882305280,126.24079295671979,-35.97087839401952,3.590448626128917,24.480679,850.6953531760886,6.5603642,-0.08669059466285162,-0.24433861005817004,10.745701,0.65464973,0.2592616739284025
5251937553484568960,159.54242598435118,-63.71317119482118,1.7325377789164125,45.15672,446.38630212248916,2.6059725,-0.1990138167213042,0.6386647659797373,13.676421,1.0975866,0.6689537970218373
461355972370394240,43.70009215167035,58.44836494244897,0.8566413918260054,15.722482,766.5823936058903,1.9909129,-0.2905043210007179,0.10725042845519718,12.540706,1.7863951,0.30966984826410127
461404939297897984,44.223487118068135,59.12685435456097,3.8817039437839,9.663214,421.4995806358505,1.5259789,0.835100390565518,0.1424779430596724,15.704734,2.0881157,0.8471674135501176
461685349119911680,49.592932867354854,58.316712211777,1.478957253246478,29.95324,682.2068674698738,1.9937881,-0.5351672082825619,-0.3168694547217094,14.867779,1.3428459,0.6219406661061684
461979468482045312,47.676842508060695,58.87451676354036,1.1268002655182976,20.305792,621.0445038455927,1.5861123,0.5690767104601613,0.34095414396493495,15.451757,1.4954042,0.6633988473573194
462585952223196672,50.945532266988884,60.94416752563052,0.914494878320864,11.932316,612.3126022977207,2.159206,-9.765223559181596e-05,0.3000161784345197,13.652333,2.6886044,0.30001619432692744
5862186779186424320,199.82580759791898,-63.40660322915604,1.5616687652344248,21.87638,425.1229786064489,2.6884923,-0.4658456408813304,-0.08144030209309087,13.35841,0.9751625,0.47291086256624654
5862222959994748928,198.40293796135057,-63.446288631108075,1.1220373137591284,43.282845,831.3196358900957,3.0623405,0.4716634430313337,-0.46032480329510767,12.664296,0.6346102,0.6590639787007417
5823656455733186432,230.58311363633953,-67.27593604933058,0.4988271129811548,14.191724,980.3155834727704,1.5246903,-0.0030554738864414957,-0.38681019609097017,14.540433,0.9519024,0.38682226373439976
5823806229829936512,232.74974827799335,-67.26446835331542,1.2375903509019965,52.693047,544.7413880082237,2.4643433,0.1906281820617997,0.4809094076545329,13.661369,0.74661446,0.5173132147614444
5823815846234953856,232.9973791149786,-67.05132027358611,0.9119530215514249,34.87903,632.7881985808791,2.4272318,-0.21482152742429453,-0.252683318746208,12.767406,0.71570873,0.3316581797838019
