source_id,solution_id,nss_solution_type,ra,dec,parallax,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags
1933843590922492032,4338096422163308546,SB1,,,,43.84508708536289,0.0877663791179657,4.995120986541508,11.458343505859375,0.05112846536376503,0.0846208706498146,200.4241411617623,92.88621520996094,-61.62980318561132,0.37249428033828735,6.92540102291969,0.5112059116363525,,,40,40,0.33679625391960144,13.547183990478516,1.5845067501068115,1.0,0
5878097468305327488,4338096422163308546,SB1,,,,256.67719109137107,0.496791273355484,82.52744784774978,2.6712424755096436,0.1793420809839064,0.01286257617175579,272.4280274183778,4.426615238189697,-34.072173958600224,0.14635582268238068,14.255878364337104,0.18862907588481903,,,25,25,0.36138302087783813,75.57624816894531,-0.9156847596168518,1.0,0
1501956355540044800,4338096422163308546,SB1,,,,352.12046629271174,4.572762966156006,-140.35960354051923,31.15445327758789,0.13881250586662025,0.08055967837572098,79.46408234029498,33.96824645996094,-11.035567969598667,0.2604714334011078,4.058335806891034,0.3381902277469635,,,31,30,0.46077966690063477,12.000157356262207,2.102806329727173,1.0,0
2582665406766999168,4338096422163308546,SB1,,,,3.883649375877416,0.00026507023721933365,0.7679974673703588,0.7337785363197327,0.021738990837165576,0.025235507637262344,211.117195961899,67.81462860107422,12.83878293795671,0.9010435342788696,59.19122322370551,1.3561619520187378,,,22,22,0.2107502520084381,43.64613342285156,1.2853652238845825,1.0,0
4538347360208735744,4338096422163308546,SB1,,,,46.331925239834675,0.1342121660709381,-6.715530410677255,1.4118069410324097,0.376868044499178,0.07261132448911667,242.75242697196956,12.63776969909668,-4.4339648874628,0.9563174843788147,19.247701312564843,1.70972740650177,,,28,28,0.6080307960510254,11.257760047912598,-1.0069198608398438,0.9990000128746033,0
6437062104373048192,4338096422163308546,SB1,,,,6.999367443623688,0.001450434559956193,-0.377054824206969,0.5911343693733215,0.07106544965997755,0.04479794576764107,277.75116623298373,30.99361228942871,22.036254303994685,0.7206973433494568,22.3259502277012,0.7996529936790466,,,32,32,0.3910296559333801,27.91954803466797,0.8027695417404175,1.0,0
4538818805876236672,4338096422163308546,SB1,,,,5.249766182535162,0.0002769764978438616,2.3728530489675097,0.87326979637146,0.015255732813271444,0.013206013478338718,117.44876663868973,60.11006164550781,-85.0454673972419,0.21674616634845734,21.04387080796051,0.3034520447254181,,,29,29,0.20839646458625793,69.34825897216797,0.9515659809112549,1.0,0
1509024153722085632,4338096422163308546,SB1,,,,117.7970375768468,0.15689586102962494,37.07087066067417,2.8524510860443115,0.22722670420459554,0.037889331579208374,217.81495690585206,8.517154693603516,9.588137653636984,0.2810068428516388,15.2575015145134,0.5535546541213989,,,37,36,0.4311623275279999,27.562772750854492,1.0273692607879639,1.0,0
1509459663404810880,4338096422163308546,SB1,,,,5.858212228578832,0.00021502355230040848,2.014923911786293,0.532921314239502,0.021534209992934466,0.011688844300806522,85.23727472826407,32.759559631347656,-22.109380860845643,0.15617261826992035,21.23123333863235,0.24469134211540222,,,27,27,0.2365787923336029,86.76741027832031,0.09479263424873352,1.0,0
6438420649770598272,4338096422163308546,SB1,,,,30.92255042003525,0.03234274312853813,12.539332009719757,0.8792157173156738,0.3225477825875815,0.07522386312484741,114.2894812871947,10.410600662231445,6.695153671857555,1.0399274826049805,28.62442003193753,2.2406625747680664,,,20,20,0.4789173901081085,12.774980545043945,1.557626724243164,0.9990000128746033,0
5939861331387638784,4338096422163308546,SB1,,,,212.6096411796182,0.1692836582660675,8.400396781919977,0.37054163217544556,0.382840695669178,0.0048056175000965595,34.49124002412548,0.8583645224571228,4.419099574043296,0.05189790949225426,15.02124901702984,0.09157806634902954,,,21,21,0.5520080924034119,164.02671813964844,-1.0238497257232666,1.0,0
5847327493646725760,4338096422163308546,SB1,,,,17.54779804579648,0.010829013772308826,-8.628070931476566,1.0295008420944214,0.14917264320878407,0.06001446023583412,305.32370267897954,23.32949447631836,57.68747865403158,0.5198554992675781,12.330761253526058,0.7211763262748718,,,23,23,0.40035149455070496,17.098121643066406,-1.10712468624115,1.0,0
414287395711501440,4338096422163308546,SB1,,,,47.46120461963974,0.019565846771001816,-15.906754379845813,0.4290196895599365,0.5324847268562802,0.019255410879850388,12.0416189979839,3.2820963859558105,-41.850681170624654,0.28957197070121765,19.561274140009854,1.067639946937561,,,31,31,0.4251413643360138,18.321975708007812,-0.2850942611694336,1.0,0
414478126618381056,4338096422163308546,SB1,,,,300.9016804407935,2.525132417678833,73.09438303932876,49.664955139160156,0.03433078304698254,0.04190708324313164,113.98164294123931,59.458702087402344,9.249643284772782,0.15436117351055145,6.312113579790693,0.1986248642206192,,,20,20,0.27015671133995056,31.779069900512695,-0.6433662176132202,1.0,0
5847434425480538496,4338096422163308546,SB1,,,,24.067957685217507,0.007629876956343651,-0.9589874429548055,0.28207242488861084,0.3413863206638105,0.017149092629551888,15.803167523190458,4.147610664367676,10.56458591278801,0.45155972242355347,31.68251406887921,0.5931141972541809,,,23,21,0.5455143451690674,53.41722106933594,2.5178232192993164,1.0,0
414978984225285632,4338096422163308546,SB1,,,,9.606645384189004,0.0020945428404957056,0.6453431629831072,0.2005711793899536,0.3468776894563791,0.0429624579846859,322.0665266796439,9.271780014038086,2.2017938796968957,0.8432748913764954,21.44647614326063,1.0138061046600342,,,39,39,0.450391948223114,21.154417037963867,0.9116408824920654,1.0,0
